datetime,temperature_from_humidity,temperature_from_pressure,pressure,humidity
2016-12-29T18:37:34.744441,-107.7,38.34,990.601,7.941
2016-12-29T18:38:34.843093,-107.517,38.315,990.612,7.967
2016-12-29T18:39:34.941274,-108.103,38.229,990.536,7.786
2016-12-29T18:40:35.042111,-106.547,38.117,990.515,8.112
2016-12-29T18:41:35.081213,-107.334,38.129,990.476,7.993
2016-12-29T18:42:35.151810,-106.84,38.046,990.471,8.069
2016-12-29T18:43:35.191178,-106.712,37.89,990.432,8.089
2016-12-29T18:44:35.261714,-105.705,37.96,990.435,8.241
2016-12-29T18:45:35.358613,-106.492,37.831,990.428,8.122
2016-12-29T18:46:35.454994,-105.906,37.894,990.386,8.165
2016-12-29T18:47:35.552574,-107.792,37.84,990.393,7.924
2016-12-29T18:48:35.653106,-107.993,37.746,990.371,7.937
2016-12-29T18:49:35.754480,-107.627,37.688,990.353,7.951
2016-12-29T18:50:35.851396,-106.602,37.671,990.292,8.105
2016-12-29T18:51:35.946953,-106.071,37.585,990.31,8.185
2016-12-29T18:52:36.046148,-106.419,37.602,990.334,8.132
2016-12-29T18:53:36.144777,-107.151,37.679,990.351,8.023
2016-12-29T18:54:36.239663,-106.474,37.727,990.376,8.125
2016-12-29T18:55:36.335355,-106.218,37.631,990.349,8.161
2016-12-29T18:56:36.431166,-108.323,37.66,990.328,7.845
2016-12-29T18:57:36.442079,-108.048,37.802,990.251,7.888
2016-12-29T18:58:36.540584,-107.957,37.673,990.227,7.901
2016-12-29T18:59:36.571000,-107.188,37.685,990.225,8.016
2016-12-29T19:00:36.583994,-108.36,37.65,990.196,7.802
2016-12-29T19:01:36.684359,-109.293,37.648,990.169,7.7
2016-12-29T19:02:36.726661,-109.037,37.588,990.167,7.74
2016-12-29T19:03:36.825247,-107.664,37.552,990.079,7.944
2016-12-29T19:04:36.864578,-108.524,37.617,990.058,7.815
2016-12-29T19:05:36.956659,-108.195,37.669,990.014,7.865
2016-12-29T19:06:37.003084,-108.414,37.794,990.051,7.875
2016-12-29T19:07:37.103412,-107.023,37.787,990.084,8.043
2016-12-29T19:08:37.203148,-108.378,37.838,990.093,7.839
2016-12-29T19:09:37.302696,-107.005,37.898,990.073,8.043
2016-12-29T19:10:37.314174,-106.913,37.81,990.033,8.059
2016-12-29T19:11:37.391157,-107.408,37.829,990.04,8.076
2016-12-29T19:12:37.494195,-106.73,37.94,990.063,8.086
2016-12-29T19:13:37.539835,-107.188,37.954,990.065,8.016
2016-12-29T19:14:37.638536,-107.371,37.942,990.071,7.99
2016-12-29T19:15:37.737086,-107.664,37.938,990.073,7.944
2016-12-29T19:16:37.835717,-108.433,37.95,990.052,7.829
2016-12-29T19:17:37.934429,-108.524,37.888,990.053,7.842
2016-12-29T19:18:37.975871,-108.451,37.906,990.049,7.825
2016-12-29T19:19:38.073332,-108.451,37.96,990.022,7.825
2016-12-29T19:20:38.170164,-108.195,37.906,990.016,7.865
2016-12-29T19:21:38.268823,-108.707,37.896,989.983,7.789
2016-12-29T19:22:38.313847,-107.279,37.935,989.964,8.003
2016-12-29T19:23:38.408556,-107.719,37.883,989.948,7.937
2016-12-29T19:24:38.507211,-108.213,37.823,989.945,7.862
2016-12-29T19:25:38.605896,-108.414,37.81,989.925,7.832
2016-12-29T19:26:38.704425,-107.353,37.827,989.906,7.993
2016-12-29T19:27:38.803183,-107.719,37.75,989.925,7.908
2016-12-29T19:28:38.848179,-107.92,37.625,989.863,7.908
2016-12-29T19:29:38.941303,-107.499,37.615,989.826,7.97
2016-12-29T19:30:39.041978,-107.865,37.604,989.798,7.914
2016-12-29T19:31:39.082482,-107.829,37.573,989.808,7.921
2016-12-29T19:32:39.130982,-107.536,37.554,989.767,7.964
2016-12-29T19:33:39.201636,-108.176,37.506,989.747,7.908
2016-12-29T19:34:39.296841,-108.598,37.477,989.708,7.806
2016-12-29T19:35:39.345407,-107.902,37.525,989.708,7.727
2016-12-29T19:36:39.445616,-108.085,37.481,989.671,7.881
2016-12-29T19:37:39.544082,-108.231,37.487,989.676,7.858
2016-12-29T19:38:39.640750,-108.451,37.479,989.649,7.736
2016-12-29T19:39:39.738904,-108.396,37.515,989.59,7.835
2016-12-29T19:40:39.770335,-108.305,37.402,989.596,7.848
2016-12-29T19:41:39.812252,-108.799,37.398,989.578,7.776
2016-12-29T19:42:39.912670,-108.836,37.421,989.597,7.769
2016-12-29T19:43:39.959383,-110.062,37.388,989.541,7.585
2016-12-29T19:44:40.042024,-109.312,37.354,989.546,7.69
2016-12-29T19:45:40.142273,-108.872,37.319,989.498,7.74
2016-12-29T19:46:40.189979,-108.323,37.306,989.475,7.845
2016-12-29T19:47:40.288708,-108.067,37.302,989.467,7.885
2016-12-29T19:48:40.371220,-106.291,37.356,989.454,8.152
2016-12-29T19:49:40.441812,-107.993,37.342,989.469,7.895
2016-12-29T19:50:40.484180,-106.602,37.325,989.468,8.059
2016-12-29T19:51:40.562133,-107.279,37.313,989.464,8.003
2016-12-29T19:52:40.624372,-107.188,37.279,989.458,8.016
2016-12-29T19:53:40.724025,-108.89,37.254,989.449,7.759
2016-12-29T19:54:40.822751,-108.707,37.258,989.436,7.789
2016-12-29T19:55:40.923130,-107.865,37.248,989.44,7.914
2016-12-29T19:56:40.971842,-109.202,37.265,989.453,7.713
2016-12-29T19:57:41.040177,-107.426,37.296,989.478,7.98
2016-12-29T19:58:41.130398,-107.499,37.292,989.506,7.97
2016-12-29T19:59:41.225016,-108.689,37.3,989.513,7.792
2016-12-29T20:00:41.309079,-107.975,37.273,989.473,7.898
2016-12-29T20:01:41.406439,-108.671,37.298,989.492,7.792
2016-12-29T20:02:41.447192,-108.652,37.327,989.526,7.796
2016-12-29T20:03:41.545941,-108.396,37.331,989.486,7.835
2016-12-29T20:04:41.645309,-108.561,37.31,989.494,7.815
2016-12-29T20:05:41.745518,-107.682,37.292,989.49,7.941
2016-12-29T20:06:41.843989,-108.286,37.346,989.483,7.852
2016-12-29T20:07:41.941260,-106.51,37.296,989.466,8.119
2016-12-29T20:08:41.985687,-108.213,37.294,989.46,7.862
2016-12-29T20:09:42.084362,-109.476,37.285,989.469,7.674
2016-12-29T20:10:42.128165,-108.707,37.281,989.474,7.789
2016-12-29T20:11:42.200258,-109.989,37.24,989.481,7.595
2016-12-29T20:12:42.297241,-108.305,37.229,989.464,7.848
2016-12-29T20:13:42.382632,-106.712,37.235,989.434,8.089
2016-12-29T20:14:42.483110,-107.719,37.225,989.434,7.937
2016-12-29T20:15:42.523143,-107.993,37.242,989.423,7.895
2016-12-29T20:16:42.621860,-108.103,37.256,989.433,7.878
2016-12-29T20:17:42.665236,-109.128,37.21,989.411,7.723
2016-12-29T20:18:42.719801,-108.506,37.15,989.419,7.819
2016-12-29T20:19:42.759869,-109.055,37.156,989.427,7.736
2016-12-29T20:20:42.856871,-108.451,37.102,989.441,7.792
2016-12-29T20:21:42.941227,-110.026,37.138,989.47,7.588
2016-12-29T20:22:43.009346,-109.55,37.165,989.468,7.661
2016-12-29T20:23:43.064382,-109.733,37.185,989.498,7.634
2016-12-29T20:24:43.132809,-109.403,37.142,989.483,7.621
2016-12-29T20:25:43.177255,-109.037,37.146,989.563,7.74
2016-12-29T20:26:43.219259,-109.019,37.135,989.565,7.74
2016-12-29T20:27:43.316206,-108.25,37.177,989.55,7.858
2016-12-29T20:28:43.401435,-109.055,37.185,989.536,7.736
2016-12-29T20:29:43.499921,-108.909,37.177,989.503,7.756
2016-12-29T20:30:43.541818,-108.561,37.142,989.528,7.809
2016-12-29T20:31:43.640548,-109.623,37.194,989.518,7.651
2016-12-29T20:32:43.711038,-108.817,37.154,989.504,7.773
2016-12-29T20:33:43.722771,-110.373,37.006,989.472,7.469
2016-12-29T20:34:43.772539,-109.055,37.092,989.506,7.736
2016-12-29T20:35:43.814355,-110.154,37.037,989.704,7.572
2016-12-29T20:36:43.913136,-110.556,37.112,989.54,7.509
2016-12-29T20:37:44.012004,-110.813,37.131,989.524,7.473
2016-12-29T20:38:44.110555,-110.227,37.102,989.522,7.529
2016-12-29T20:39:44.156204,-110.19,37.06,989.555,7.565
2016-12-29T20:40:44.186157,-110.538,37.0,989.58,7.512
2016-12-29T20:41:44.282626,-108.89,36.981,989.587,7.759
2016-12-29T20:42:44.377657,-109.403,36.994,989.59,7.684
2016-12-29T20:43:44.476241,-108.762,37.044,989.551,7.779
2016-12-29T20:44:44.515072,-109.678,37.04,989.527,7.641
2016-12-29T20:45:44.559760,-109.074,36.998,989.468,7.75
2016-12-29T20:46:44.615586,-109.476,37.025,989.46,7.674
2016-12-29T20:47:44.661101,-109.824,37.033,989.415,7.621
2016-12-29T20:48:44.696357,-110.63,37.008,989.394,7.499
2016-12-29T20:49:44.794978,-110.007,36.954,989.369,7.591
2016-12-29T20:50:44.893586,-109.495,36.973,989.377,7.67
2016-12-29T20:51:44.993232,-109.495,37.0,989.367,7.67
2016-12-29T20:52:45.091038,-109.916,37.015,989.366,7.608
2016-12-29T20:53:45.159588,-109.824,36.917,989.36,7.621
2016-12-29T20:54:45.221167,-110.044,36.91,989.381,7.588
2016-12-29T20:55:45.291676,-109.733,36.942,989.35,7.634
2016-12-29T20:56:45.330727,-109.769,37.01,989.348,7.628
2016-12-29T20:57:45.401397,-108.799,36.994,989.327,7.776
2016-12-29T20:58:45.413771,-109.238,37.01,989.365,7.707
2016-12-29T20:59:45.513315,-108.744,37.008,989.305,7.783
2016-12-29T21:00:45.609001,-109.293,36.994,989.292,7.7
2016-12-29T21:01:45.707668,-109.074,36.938,989.269,7.733
2016-12-29T21:02:45.806184,-109.623,36.904,989.293,7.651
2016-12-29T21:03:45.905674,-110.52,36.871,989.298,7.516
2016-12-29T21:04:46.001159,-109.183,36.919,989.271,7.717
2016-12-29T21:05:46.071796,-108.488,36.885,989.256,7.822
2016-12-29T21:06:46.170613,-110.373,36.858,989.278,7.539
2016-12-29T21:07:46.241214,-109.604,36.829,989.204,7.654
2016-12-29T21:08:46.311799,-110.355,36.817,989.201,7.539
2016-12-29T21:09:46.410506,-110.648,36.798,989.232,7.496
2016-12-29T21:10:46.481034,-111.362,36.81,989.219,7.387
2016-12-29T21:11:46.525845,-110.117,36.871,989.238,7.575
2016-12-29T21:12:46.624302,-109.147,36.827,989.242,7.723
2016-12-29T21:13:46.722806,-110.117,36.8,989.272,7.575
2016-12-29T21:14:46.821422,-109.348,36.787,989.238,7.69
2016-12-29T21:15:46.920119,-110.117,36.798,989.351,7.575
2016-12-29T21:16:47.019024,-110.52,36.758,989.327,7.516
2016-12-29T21:17:47.117658,-110.666,36.771,989.304,7.493
2016-12-29T21:18:47.211568,-110.209,36.773,989.304,7.562
2016-12-29T21:19:47.312141,-109.897,36.769,989.326,7.608
2016-12-29T21:20:47.413061,-110.611,36.769,989.314,7.502
2016-12-29T21:21:47.512683,-110.172,36.85,989.297,7.568
2016-12-29T21:22:47.613071,-110.63,36.8,989.294,7.499
2016-12-29T21:23:47.701185,-109.751,36.767,989.292,7.631
2016-12-29T21:24:47.801569,-109.842,36.81,989.352,7.618
2016-12-29T21:25:47.848024,-109.989,36.852,989.363,7.595
2016-12-29T21:26:47.971161,-110.813,36.967,989.376,7.473
2016-12-29T21:27:47.988172,-108.14,37.037,989.392,7.875
2016-12-29T21:28:48.036794,-109.183,37.088,989.41,7.717
2016-12-29T21:29:48.077415,-108.543,37.025,989.369,7.812
2016-12-29T21:30:48.126755,-108.689,37.106,989.348,7.792
2016-12-29T21:31:48.225432,-109.476,37.304,989.312,7.674
2016-12-29T21:32:48.323978,-108.799,37.483,989.249,7.776
2016-12-29T21:33:48.369586,-109.421,37.66,989.262,7.68
2016-12-29T21:34:48.465311,-108.396,37.767,989.32,7.865
2016-12-29T21:35:48.552426,-109.458,37.9,989.343,7.674
2016-12-29T21:36:48.652935,-110.135,37.877,989.372,7.572
2016-12-29T21:37:48.701635,-109.458,37.892,989.382,7.674
2016-12-29T21:38:48.800288,-109.275,37.996,989.393,7.703
2016-12-29T21:39:48.897255,-109.22,37.95,989.4,7.71
2016-12-29T21:40:48.941347,-107.774,38.11,989.422,7.928
2016-12-29T21:41:49.038628,-108.305,38.083,989.467,7.848
2016-12-29T21:42:49.122973,-108.36,38.131,989.435,7.842
2016-12-29T21:43:49.221515,-108.909,38.29,989.403,7.727
2016-12-29T21:44:49.322409,-108.927,38.202,989.382,7.756
2016-12-29T21:45:49.422903,-107.499,38.304,989.399,7.97
2016-12-29T21:46:49.521680,-107.389,38.183,989.346,7.987
2016-12-29T21:47:49.585319,-106.657,38.263,989.362,8.178
2016-12-29T21:48:49.687825,-108.158,38.196,989.397,7.871
2016-12-29T21:49:49.786242,-107.389,38.173,989.409,7.987
2016-12-29T21:50:49.885624,-108.652,38.281,989.45,7.796
2016-12-29T21:51:49.941274,-108.964,38.225,989.473,7.75
2016-12-29T21:52:50.037945,-108.598,38.25,989.473,7.806
2016-12-29T21:53:50.136301,-109.165,38.333,989.5,7.72
2016-12-29T21:54:50.231228,-108.195,38.323,989.486,7.865
2016-12-29T21:55:50.301756,-110.19,38.296,989.486,7.568
2016-12-29T21:56:50.401932,-108.616,38.388,989.51,7.802
2016-12-29T21:57:50.491073,-109.421,38.396,989.494,7.68
2016-12-29T21:58:50.549012,-109.55,38.329,989.532,7.661
2016-12-29T21:59:50.645141,-110.373,38.385,989.529,7.539
2016-12-29T22:00:50.741592,-109.952,38.335,989.535,7.651
2016-12-29T22:01:50.841880,-109.147,38.094,989.533,7.723
2016-12-29T22:02:50.940539,-108.89,38.125,989.588,7.759
2016-12-29T22:03:50.959359,-109.348,38.292,989.539,7.69
2016-12-29T22:04:51.058177,-109.879,38.388,989.577,7.611
2016-12-29T22:05:51.100062,-109.128,38.342,989.567,7.723
2016-12-29T22:06:51.198681,-110.337,38.344,989.567,7.542
2016-12-29T22:07:51.297231,-110.007,38.396,989.535,7.591
2016-12-29T22:08:51.395962,-110.868,38.333,989.554,7.463
2016-12-29T22:09:51.491397,-109.513,38.306,989.526,7.667
2016-12-29T22:10:51.572821,-110.318,38.292,989.51,7.545
2016-12-29T22:11:51.640677,-109.275,38.321,989.524,7.703
2016-12-29T22:12:51.711274,-108.524,38.296,989.512,7.815
2016-12-29T22:13:51.781249,-109.019,38.092,989.518,7.74
2016-12-29T22:14:51.801188,-109.751,38.273,989.535,7.631
2016-12-29T22:15:51.871143,-109.312,38.206,989.503,7.697
2016-12-29T22:16:51.941319,-109.531,38.073,989.534,7.664
2016-12-29T22:17:52.023048,-110.483,38.085,989.526,7.588
2016-12-29T22:18:52.124475,-110.483,38.023,989.544,7.522
2016-12-29T22:19:52.221499,-109.531,37.9,989.545,7.664
2016-12-29T22:20:52.289447,-107.7,37.844,989.511,7.941
2016-12-29T22:21:52.388236,-110.465,37.873,989.536,7.522
2016-12-29T22:22:52.514335,-109.714,37.796,989.493,7.638
2016-12-29T22:23:52.556129,-108.085,37.902,989.546,7.881
2016-12-29T22:24:52.654667,-107.627,37.881,989.545,7.908
2016-12-29T22:25:52.749613,-107.133,37.798,989.511,8.026
2016-12-29T22:26:52.817501,-108.36,37.838,989.546,7.842
2016-12-29T22:27:52.916294,-108.268,37.829,989.539,7.855
2016-12-29T22:28:53.015180,-108.652,37.704,989.538,7.796
2016-12-29T22:29:53.111060,-109.989,37.733,989.54,7.595
2016-12-29T22:30:53.181587,-109.916,37.638,989.554,7.608
2016-12-29T22:31:53.279804,-110.593,37.573,989.553,7.506
2016-12-29T22:32:53.320139,-109.751,37.554,989.563,7.631
2016-12-29T22:33:53.416964,-112.003,37.556,989.552,7.292
2016-12-29T22:34:53.513971,-109.897,37.531,989.541,7.608
2016-12-29T22:35:53.598185,-110.63,37.544,989.545,7.499
2016-12-29T22:36:53.656216,-110.099,37.558,989.621,7.578
2016-12-29T22:37:53.696109,-110.794,37.581,989.59,7.473
2016-12-29T22:38:53.781400,-110.209,37.554,989.614,7.397
2016-12-29T22:39:53.879302,-111.069,37.592,989.582,7.433
2016-12-29T22:40:53.939720,-111.344,37.61,989.602,7.39
2016-12-29T22:41:54.008016,-111.417,37.598,989.598,7.381
2016-12-29T22:42:54.127112,-110.447,37.625,989.585,7.526
2016-12-29T22:43:54.225764,-111.435,37.71,989.602,7.377
2016-12-29T22:44:54.312190,-110.135,37.76,989.595,7.572
2016-12-29T22:45:54.380615,-111.801,37.769,989.627,7.321
2016-12-29T22:46:54.451168,-112.003,37.731,989.625,7.292
2016-12-29T22:47:54.520050,-111.71,37.615,989.612,7.338
2016-12-29T22:48:54.582990,-111.49,37.608,989.614,7.371
2016-12-29T22:49:54.682830,-111.215,37.567,989.59,7.41
2016-12-29T22:50:54.781488,-111.49,37.602,989.598,7.371
2016-12-29T22:51:54.880508,-111.911,37.635,989.649,7.354
2016-12-29T22:52:54.974204,-111.71,37.662,989.63,7.387
2016-12-29T22:53:55.020359,-111.252,37.735,989.652,7.404
2016-12-29T22:54:55.116582,-112.149,37.631,989.698,7.272
2016-12-29T22:55:55.209549,-111.655,37.594,989.684,7.344
2016-12-29T22:56:55.277531,-112.076,37.598,989.622,7.282
2016-12-29T22:57:55.343457,-110.794,37.638,989.634,7.473
2016-12-29T22:58:55.443101,-111.472,37.633,989.626,7.371
2016-12-29T22:59:55.540196,-111.691,37.717,989.619,7.338
2016-12-29T23:00:55.641852,-111.508,37.754,989.662,7.318
2016-12-29T23:01:55.742127,-112.003,37.763,989.659,7.288
2016-12-29T23:02:55.842705,-111.582,37.769,989.668,7.354
2016-12-29T23:03:55.910564,-111.344,37.865,989.663,7.39
2016-12-29T23:04:55.941308,-111.087,37.798,989.612,7.43
2016-12-29T23:05:56.023111,-111.966,37.817,989.636,7.298
2016-12-29T23:06:56.124189,-112.021,37.842,989.627,7.308
2016-12-29T23:07:56.224530,-113.266,37.838,989.605,7.104
2016-12-29T23:08:56.313768,-112.698,37.852,989.677,7.186
2016-12-29T23:09:56.353389,-111.527,37.698,989.71,7.364
2016-12-29T23:10:56.451550,-112.314,37.835,989.711,7.245
2016-12-29T23:11:56.462471,-113.028,37.84,989.706,7.137
2016-12-29T23:12:56.561053,-111.6,37.894,989.688,7.354
2016-12-29T23:13:56.631669,-113.339,37.773,989.62,7.091
2016-12-29T23:14:56.730370,-113.522,37.813,989.581,7.064
2016-12-29T23:15:56.829064,-112.058,37.721,989.653,7.285
2016-12-29T23:16:56.927577,-112.57,37.706,989.687,7.206
2016-12-29T23:17:57.027359,-112.332,37.71,989.707,7.242
2016-12-29T23:18:57.117091,-112.46,37.677,989.689,7.222
2016-12-29T23:19:57.215775,-112.534,37.612,989.724,7.212
2016-12-29T23:20:57.312220,-112.991,37.546,989.694,7.143
2016-12-29T23:21:57.325645,-111.252,37.644,989.7,7.404
2016-12-29T23:22:57.423203,-111.783,37.638,989.699,7.325
2016-12-29T23:23:57.523633,-111.344,37.527,989.768,7.367
2016-12-29T23:24:57.621121,-111.856,37.448,989.797,7.315
2016-12-29T23:25:57.690028,-111.124,37.515,989.809,7.423
2016-12-29T23:26:57.751133,-112.131,37.59,989.726,7.272
2016-12-29T23:27:57.807809,-111.362,37.581,989.71,7.387
2016-12-29T23:28:57.904055,-111.801,37.65,989.742,7.321
2016-12-29T23:29:58.001336,-111.252,37.569,989.847,7.404
2016-12-29T23:30:58.017423,-111.637,37.554,989.914,7.348
2016-12-29T23:31:58.061119,-110.831,37.531,989.895,7.469
2016-12-29T23:32:58.131666,-111.399,37.542,989.847,7.384
2016-12-29T23:33:58.232892,-111.911,37.487,989.793,7.305
2016-12-29T23:34:58.329771,-111.527,37.477,989.812,7.364
2016-12-29T23:35:58.396366,-110.977,37.51,989.857,7.446
2016-12-29T23:36:58.441494,-110.52,37.554,989.86,7.516
2016-12-29T23:37:58.540987,-111.728,37.544,989.84,7.334
2016-12-29T23:38:58.609938,-111.124,37.517,989.825,7.423
2016-12-29T23:39:58.676117,-110.593,37.554,989.836,7.506
2016-12-29T23:40:58.759514,-111.691,37.563,989.846,7.338
2016-12-29T23:41:58.827361,-111.179,37.569,989.854,7.417
2016-12-29T23:42:58.920894,-111.344,37.548,989.878,7.39
2016-12-29T23:43:58.988570,-111.856,37.56,989.864,7.315
2016-12-29T23:44:59.087133,-111.179,37.537,989.908,7.417
2016-12-29T23:45:59.130236,-111.252,37.546,989.866,7.404
2016-12-29T23:46:59.229087,-111.27,37.531,989.895,7.404
2016-12-29T23:47:59.327645,-111.838,37.502,989.908,7.318
2016-12-29T23:48:59.426263,-111.161,37.5,989.908,7.42
2016-12-29T23:49:59.523186,-112.003,37.415,989.861,7.292
2016-12-29T23:50:59.579765,-111.838,37.431,989.802,7.318
2016-12-29T23:51:59.676801,-111.197,37.506,989.811,7.413
2016-12-29T23:52:59.703312,-111.051,37.515,989.88,7.437
2016-12-29T23:53:59.769866,-110.758,37.554,989.871,7.479
2016-12-29T23:54:59.866853,-109.971,37.56,989.852,7.598
2016-12-29T23:55:59.951363,-110.41,37.554,989.827,7.532
2016-12-29T23:57:00.050324,-110.117,37.563,989.838,7.575
2016-12-29T23:58:00.136168,-109.312,37.579,989.855,7.697
2016-12-29T23:59:00.235654,-110.373,37.537,989.842,7.539
2016-12-30T00:00:00.333604,-109.916,37.527,989.824,7.608
2016-12-30T00:01:00.347256,-110.245,37.452,989.783,7.555
2016-12-30T00:02:00.393340,-110.941,37.458,989.834,7.532
2016-12-30T00:03:00.434668,-110.428,37.435,989.904,7.427
2016-12-30T00:04:00.521126,-111.911,37.421,989.899,7.305
2016-12-30T00:05:00.584460,-111.637,37.392,989.861,7.348
2016-12-30T00:06:00.683075,-111.618,37.375,989.853,7.351
2016-12-30T00:07:00.780055,-110.502,37.362,989.844,7.519
2016-12-30T00:08:00.847945,-111.545,37.35,989.836,7.361
2016-12-30T00:09:00.946438,-110.428,37.383,989.836,7.529
2016-12-30T00:10:01.046329,-111.051,37.427,989.855,7.437
2016-12-30T00:11:01.143321,-111.435,37.394,989.865,7.377
2016-12-30T00:12:01.209734,-110.977,37.402,989.847,7.446
2016-12-30T00:13:01.248873,-110.813,37.423,989.826,7.473
2016-12-30T00:14:01.312094,-111.655,37.396,989.845,7.344
2016-12-30T00:15:01.380220,-110.904,37.454,989.831,7.456
2016-12-30T00:16:01.479859,-111.179,37.448,989.849,7.417
2016-12-30T00:17:01.545483,-111.014,37.465,989.844,7.44
2016-12-30T00:18:01.644136,-111.801,37.435,989.857,7.321
2016-12-30T00:19:01.682698,-111.362,37.431,989.856,7.387
2016-12-30T00:20:01.750546,-111.838,37.421,989.848,7.318
2016-12-30T00:21:01.764260,-112.003,37.423,989.819,7.292
2016-12-30T00:22:01.862355,-111.728,37.41,989.801,7.334
2016-12-30T00:23:01.961029,-111.49,37.483,989.789,7.371
2016-12-30T00:24:02.029008,-111.801,37.446,989.75,7.321
2016-12-30T00:25:02.053610,-112.021,37.431,989.764,7.288
2016-12-30T00:26:02.077028,-111.417,37.406,989.743,7.381
2016-12-30T00:27:02.159564,-111.911,37.521,989.699,7.305
2016-12-30T00:28:02.225733,-110.831,37.425,989.711,7.44
2016-12-30T00:29:02.310557,-112.57,37.419,989.7,7.206
2016-12-30T00:30:02.351151,-112.076,37.398,989.724,7.282
2016-12-30T00:31:02.418542,-111.215,37.485,989.724,7.41
2016-12-30T00:32:02.499542,-111.655,37.504,989.736,7.344
2016-12-30T00:33:02.563134,-111.014,37.44,989.705,7.44
2016-12-30T00:34:02.648078,-110.337,37.417,989.736,7.542
2016-12-30T00:35:02.731776,-111.215,37.365,989.748,7.41
2016-12-30T00:36:02.789606,-110.977,37.371,989.745,7.446
2016-12-30T00:37:02.855919,-111.362,37.36,989.788,7.387
2016-12-30T00:38:02.939682,-110.831,37.385,989.731,7.469
2016-12-30T00:39:03.006187,-111.27,37.396,989.757,7.404
